id,first_name,last_name,gender,university_name,city_of_residence,field_of_study,category_interest,interest
rec1xCiLAFMkrB53k,Roze,O'Rodane,Male,Samsun Üniversitesi,Samsun,Fizik,Spor ve Sağlık,Dağcılık
rec1ysXgqDN9MIAMp,Che,Orro,Male,İstanbul Rumeli Üniversitesi,İstanbul,Mimarlık,Sanat ve Yaratıcılık,Tiyatro
rec236xnUCM1KHi9B,Iver,Woodham,Male,Sabahattin Zaim Üniversitesi,İstanbul,Tıp,Spor ve Sağlık,Meditasyon
rec27fmgw3kLMVMvC,Nap,Cordeau],Male,Maltepe Üniversitesi,İstanbul,Veterinerlik,Diğer İlgi Alanları,Kitap Okuma
rec2H79j31fcFLyJr,Evelyn,Cattlemull,Female,Adnan Menderes Üniversitesi,Aydın,Arkeoloji,Spor ve Sağlık,Yoga
rec2UsMwRW8f5IyDZ,Terry,Barham,Female,İnönü Üniversitesi,Malatya,Tıp,Spor ve Sağlık,Fitness
rec2WfWa6qrLsYetQ,Tobi,Latehouse,Female,Samsun Üniversitesi,Samsun,Eğitim Fakültesi,Spor ve Sağlık,Fitness
rec2aDwwUG90SSJgJ,Madison,Jerrome,Male,Bozok Üniversitesi,Yozgat,Mühendislik Fakültesi,Sanat ve Yaratıcılık,Müzik
rec2bECudQs9oO69h,Gage,Orkney,Male,Ege Üniversitesi,İzmir,Orman Mühendisliği,Spor ve Sağlık,Dans
rec2eEIHGJCAovkH0,Nixie,Gurling,Female,Piri Reis Üniversitesi,İstanbul,İşletme,Teknoloji ve Bilim,Yazılım Geliştirme
rec2eWhWvW9oBssvf,Meryl,Galey,Male,Orta Doğu Teknik Üniversitesi (ODTÜ),Ankara,İşletme,Diğer İlgi Alanları,Sosyal Medya
rec2jWnTBbBmGsLnf,Wainwright,Duinkerk,Female,Recep Tayyip Erdoğan Üniversitesi,Rize,Hukuk,Teknoloji ve Bilim,Yazılım Geliştirme
rec2lMKBwIKiyqm25,Marje,Prewer,Female,Gaziantep Üniversitesi,Gaziantep,İşletme,Oyun ve Zeka Aktiviteleri,Satranç
rec2lwNHldcqA1gRs,Dexter,Heffron,Male,İstanbul Kadir Has Üniversitesi,İstanbul,Elektrik-Elektronik Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
rec2oqNozCsBLCuSE,Kelly,Kerfod,Male,İstanbul Şehir Üniversitesi,İstanbul,Hukuk,Diğer İlgi Alanları,Kitap Okuma
rec2oyMdSBJ8TiFqM,Malanie,Rozalski,Female,İstanbul Haliç Üniversitesi,İstanbul,Eğitim Fakültesi,Spor ve Sağlık,Meditasyon
rec2q2bI7ZM4uT9PQ,Anatollo,Brownsmith,Male,Maltepe Üniversitesi,İstanbul,Hukuk,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec2raJ4FCSNwDX4N,Yurik,Plaxton,Male,Yaşar Üniversitesi,İzmir,Ziraat Mühendisliği,Teknoloji ve Bilim,Web Tasarımı
rec2xjiHY1RevoiOX,Marve,Barenskie,Male,Sabancı Üniversitesi,İstanbul,Orman Mühendisliği,Spor ve Sağlık,Yoga
rec2yltMubCm7rpz2,Marybelle,Rickaert,Female,Trabzon Üniversitesi,Trabzon,Veterinerlik,Oyun ve Zeka Aktiviteleri,Satranç
rec30U5vgp4QYoNsO,Hallsy,Ionnidis,Male,Trabzon Üniversitesi,Trabzon,Eczacılık,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec36tIY1LxZ6RHbt,Abramo,Kilshall,Male,Doğuş Üniversitesi,İstanbul,İnşaat Mühendisliği,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec3DIpQmZK9mkLcJ,Rodolphe,Magnar,Male,İstanbul Medipol Üniversitesi,İstanbul,Hukuk,Doğa ve Açık Hava Aktiviteleri,Doğa Yürüyüşü
rec3EH2rXeHSQxE6B,Olly,Dunrige,Male,Boğaziçi Üniversitesi,İstanbul,Hukuk,Doğa ve Açık Hava Aktiviteleri,Bahçe İşleri
rec3GL4RBGfYMUs9Y,Dian,Haycox,Female,Dumlupınar Üniversitesi,Kütahya,Turizm,Sanat ve Yaratıcılık,Yaratıcı Yazarlık
rec3PAQ0Vn8HZ48ph,Saundra,Brainsby,Female,İstanbul Gelişim Üniversitesi,İstanbul,Mühendislik,Diğer İlgi Alanları,Sosyal Medya
rec3UDZdVyyvEGUx8,Rockwell,Rohfsen,Male,Yaşar Üniversitesi,İzmir,Mühendislik,Teknoloji ve Bilim,Yazılım Geliştirme
rec3Z8mdM168KTiKz,Dew,Alabaster,Male,Ankara Üniversitesi,Ankara,Tarım Bilimleri,Teknoloji ve Bilim,Yazılım Geliştirme
rec3ZDpJDVGIDpgQY,Kylynn,Ciobutaru,Female,Dokuz Eylül Üniversitesi,İzmir,Tarım Bilimleri,Spor ve Sağlık,Fitness
rec3ddoL9JmGg7lIK,Carline,Copnell,Female,Fatih Sultan Mehmet Üniversitesi,İstanbul,Ekonomi,Oyun ve Zeka Aktiviteleri,Satranç
rec3eFdsLLdsTiTw6,Richardo,Helian,Male,Kastamonu Üniversitesi,Kastamonu,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec3jbzB2N1tC86AF,Bernarr,Berends,Female,Boğaziçi Üniversitesi,İstanbul,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec3qqVHmLB8VVkd2,Nikolai,Woffinden,Male,İstanbul Üniversitesi-Cerrahpaşa,İstanbul,İnşaat Mühendisliği,Gönüllülük ve Toplumsal Faaliyetler,Hayvan Bakımı
rec3rz5Ps43hqu2t5,Josselyn,Clemonts,Male,Çukurova Üniversitesi,Adana,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec40jxOBQz09wr6L,Rosaleen,Winter,Female,Piri Reis Üniversitesi,İstanbul,Orman Mühendisliği,Spor ve Sağlık,Meditasyon
rec4Gf9RNzWAJzELB,Vicky,Leefe,Female,Bursa Uludağ Üniversitesi,Bursa,Veterinerlik,Diğer İlgi Alanları,Sosyal Medya
rec4KwOBQSsMwBI1L,Sigfried,Paye,Male,Haliç Üniversitesi,İstanbul,Ekonomi,Diğer İlgi Alanları,Kitap Okuma
rec4MAPEBKx5XSfFf,Clarey,Stallan,Female,Yüksek İhtisas Üniversitesi,Ankara,Ziraat Mühendisliği,Sanat ve Yaratıcılık,Fotoğrafçılık
rec4P1wraPqbUjw8D,Noell,Hawkridge,Female,Fatih Sultan Mehmet Üniversitesi,İstanbul,Mimarlık,Sanat ve Yaratıcılık,Müzik
rec4Vg8pwbrsvBabT,Aurelia,Hasnip,Female,Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,Tıp,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec4WILLUcvpQeOnK,Dorotea,Blincko,Female,Eskişehir Teknik Üniversitesi,Eskişehir,Elektrik ve Elektronik Mühendisliği,Teknoloji ve Bilim,E-spor
rec4XAFr4fvlX8JAq,Sula,Mattack,Female,Yalova Üniversitesi,Yalova,Bilgisayar Mühendisliği,Spor ve Sağlık,Yoga
rec4cDmBVE83Q0MQ6,Meredeth,Griffe,Male,Sabancı Üniversitesi,İstanbul,Hukuk,Doğa ve Açık Hava Aktiviteleri,Seyahat
rec4j6wWP4I1DbqtK,Cletis,Spinas,Male,Recep Tayyip Erdoğan Üniversitesi,Rize,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec4jxF7XbaLV1RZ7,Goldi,Bambridge,Female,İstanbul Altınbaş Üniversitesi,İstanbul,Makine Mühendisliği,Gönüllülük ve Toplumsal Faaliyetler,Hayvan Bakımı
rec4pZIjomj1f7Pxa,Barron,Jelf,Male,Samsun Üniversitesi,Samsun,Turizm,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec4y4zHUj8lwlsit,Roderick,Dimnage,Male,Anadolu Üniversitesi Açıköğretim Fakültesi,Eskişehir,Elektrik ve Elektronik Mühendisliği,Sanat ve Yaratıcılık,Şiir Yazma
rec52KojPSLUb1TgX,Lennie,Ragat,Male,İstanbul Haliç Üniversitesi,İstanbul,Tıp,Doğa ve Açık Hava Aktiviteleri,Balık Tutma
rec53pvOkW5ZUIo9I,Abagael,De Giorgio,Female,Karadeniz Teknik Üniversitesi (KTÜ),Trabzon,Tıp,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec53zWilc2Z5lmx2,Vincenz,Cabane,Male,Uludağ Üniversitesi,Bursa,Elektrik ve Elektronik Mühendisliği,Sanat ve Yaratıcılık,Müzik
rec56H3vyTCT8YBbb,Corilla,Oakes,Female,Lise,İzmir,Yok,Oyun ve Zeka Aktiviteleri,Satranç
rec5BTyvA7qdQ8W1j,Quincy,Goldsmith,Male,Lise,Eskişehir,Yok,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec5COqW5Ht6UnIjl,Arny,Arderne,Male,Mersin Üniversitesi,Mersin,Hukuk,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec5DJlaKrGqYa6Lw,Fayth,Giacovazzo,Female,İstanbul Altınbaş Üniversitesi,İstanbul,Tarım Bilimleri,Teknoloji ve Bilim,Yazılım Geliştirme
rec5I3Hh6a6tD3Jca,Doralyn,Krugmann,Female,Erciyes Üniversitesi,Kayseri,Tıp,Doğa ve Açık Hava Aktiviteleri,Doğa Yürüyüşü
rec5I8FQ2pj1Z2Umn,Lorain,Esel,Female,Sabancı Üniversitesi,İstanbul,Tıp,Sanat ve Yaratıcılık,Müzik
rec5Jf89VLzcU1wqg,Tanny,Baude,Male,Orta Doğu Teknik Üniversitesi (ODTÜ),Ankara,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
rec5JlS6TwwNFksuA,Ephraim,Crabb,Male,Maltepe Üniversitesi,İstanbul,Mühendislik,Diğer İlgi Alanları,Kitap Okuma
rec5SLuzPb14jqyGM,Maddie,Rany,Female,Trabzon Üniversitesi,Trabzon,Eğitim Fakültesi,Spor ve Sağlık,Yoga
rec5UJ0SnEi4aMVNu,Ambros,Dunsmore,Male,Bilkent Üniversitesi,Ankara,Ziraat Mühendisliği,Diğer İlgi Alanları,Kitap Okuma
rec5hvxU3LCwquRdH,Dolorita,Zuker,Female,Hakkari Üniversitesi,Hakkari,Tıp,Sanat ve Yaratıcılık,Müzik
rec5placEJWZ6F81H,Kerry,Janecek,Female,İstanbul Aydın Üniversitesi,İstanbul,Elektrik ve Elektronik Mühendisliği,Teknoloji ve Bilim,E-spor
rec5ufmu3LDcIMqRZ,Judas,Umpleby,Male,İstanbul Sabahattin Zaim Üniversitesi,İstanbul,Ziraat Mühendisliği,Spor ve Sağlık,Fitness
rec5zabLwvNqaR8fa,Templeton,Coaten,Male,Sabancı Üniversitesi,İstanbul,Ziraat Mühendisliği,Teknoloji ve Bilim,Astronomi
rec608U7K4w3F7qzS,Nap,Anderton,Male,Nevşehir Hacı Bektaş Veli Üniversitesi,Nevşehir,Bilgisayar Mühendisliği,Sanat ve Yaratıcılık,Tiyatro
rec63Y1uATwzqXhgJ,Tracie,Wyburn,Male,Dumlupınar Üniversitesi,Kütahya,Mimarlık,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec68rumW5SC2Nx6G,Allyn,Arrow,Male,Marmara Üniversitesi,İstanbul,Mimarlık,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec695ZmpMxYrpt0t,Mauricio,Perulli,Male,Selçuk Üniversitesi,Konya,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
rec698FiVNZfx9vCP,Gray,Blaske,Male,Yalova Üniversitesi,Yalova,Hukuk,Spor ve Sağlık,Dans
rec6CwbEOMVRuQkZn,Tadeas,Insworth,Male,Bozok Üniversitesi,Yozgat,Veterinerlik,Sanat ve Yaratıcılık,Şiir Yazma
rec6K5EHeTmAod23t,Jedd,Gresch,Male,Yeditepe Üniversitesi,İstanbul,Beden Eğitimi ve Spor Öğretmenliği,Teknoloji ve Bilim,Yazılım Geliştirme
rec6KOHlpcIOBGXNA,Horten,Pickston,Male,İstanbul Kadir Has Üniversitesi,İstanbul,Veterinerlik,Diğer İlgi Alanları,Sosyal Medya
rec6Ki14pCqvvCzWQ,Sydelle,Frobisher,Female,Türkiye Yüksek İhtisas Üniversitesi,Ankara,İnşaat Mühendisliği,Sanat ve Yaratıcılık,Tiyatro
rec6L9qfrQVeEGz0K,Violet,Rennocks,Female,Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,Ekonomi,Diğer İlgi Alanları,Sosyal Medya
rec6NhvndcEz4Nn5K,Adele,Sprosson,Female,Trakya Üniversitesi,Edirne,İşletme,Diğer İlgi Alanları,Yemek Yapma
rec6UCWnG0SiLsjEQ,Allyn,Gaskarth,Male,Süleyman Demirel Üniversitesi,Isparta,İktisat,Diğer İlgi Alanları,Koleksiyonculuk
rec6UVitej7ekjbsX,Brandy,Scullin,Male,Anadolu Üniversitesi,Eskişehir,Eğitim Fakültesi,Spor ve Sağlık,Yoga
rec6XKj0PgqK29EcI,Ruddie,Porter,Male,Bilkent Üniversitesi,Ankara,Orman Mühendisliği,Teknoloji ve Bilim,Yazılım Geliştirme
rec6a2YmHqPDtLPPu,Kimberli,Yerborn,Female,Fatih Sultan Mehmet Üniversitesi,İstanbul,Tıp,Teknoloji ve Bilim,E-spor
rec6aSTmsoC1R4pBM,Lou,Ruane,Male,İstanbul Altınbaş Üniversitesi,İstanbul,Beden Eğitimi ve Spor Öğretmenliği,Teknoloji ve Bilim,E-spor
rec6c6m3iEDPilEdv,Rriocard,Thomason,Male,İstanbul Kültür Üniversitesi,İstanbul,İşletme,Diğer İlgi Alanları,Kitap Okuma
rec6jFz8Z0Na8x8na,Sherwood,Hovie,Male,Anadolu Üniversitesi Açıköğretim Fakültesi,Eskişehir,Bilgisayar Mühendisliği,Spor ve Sağlık,Dağcılık
rec6nSnyuR6zFKnDN,Ugo,Reyne,Male,Rize Üniversitesi,Rize,Mühendislik,Diğer İlgi Alanları,Kitap Okuma
rec6qc1Z7pD6YgIf7,Ambrose,Hillum,Male,İstanbul Üniversitesi,İstanbul,Tıp,Teknoloji ve Bilim,E-spor
rec6rjXADb5tcv5AP,Cori,Dockwra,Female,Maltepe Üniversitesi,İstanbul,Elektrik-Elektronik Mühendisliği,Doğa ve Açık Hava Aktiviteleri,Bahçe İşleri
rec6spEodOHWFm9wK,Micheal,Woakes,Male,Anadolu Üniversitesi,Eskişehir,Veterinerlik,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec6x0oRb80YdixuO,Rozella,MacInnes,Female,İzmir Yüksek Teknoloji Enstitüsü,İzmir,Tıp,Teknoloji ve Bilim,E-spor
rec6zDcImpIzs1H39,Johann,Waylen,Male,Orta Doğu Teknik Üniversitesi (ODTÜ),Ankara,Veterinerlik,Diğer İlgi Alanları,Yemek Yapma
rec71AXJvw5tHQsnb,Evaleen,D'Aguanno,Male,Sakarya Üniversitesi,Sakarya,Tarım Bilimleri,Teknoloji ve Bilim,Astronomi
rec7By0yGr2nq8K3m,Sal,Michelotti,Female,Süleyman Demirel Üniversitesi,Isparta,Makine Mühendisliği,Gönüllülük ve Toplumsal Faaliyetler,Hayvan Bakımı
rec7IM5Rgg0PRxfMP,Eli,Schottli,Male,Orta Doğu Teknik Üniversitesi,Ankara,Veterinerlik,Oyun ve Zeka Aktiviteleri,Satranç
rec7LIX9b9ugooVCd,Vance,Benez,Male,Eskişehir Osmangazi Üniversitesi,Eskişehir,Bilgisayar Mühendisliği,Spor ve Sağlık,Dans
rec7MuBeRSpOyjUXu,Karlotta,Leynham,Female,İstanbul Üniversitesi-Cerrahpaşa,İstanbul,Bilgisayar Mühendisliği,Spor ve Sağlık,Meditasyon
rec7NxDW3Kn50OKxk,Ermentrude,Dubbin,Female,İstanbul Üniversitesi-Cerrahpaşa,İstanbul,Mühendislik Fakültesi,Sanat ve Yaratıcılık,Grafik Tasarım
rec7S1OaRCxxJCnHe,Madelon,Ferby,Female,Selçuk Üniversitesi,Konya,Beden Eğitimi ve Spor Öğretmenliği,Teknoloji ve Bilim,E-spor
rec7VATDuDjjp4yIj,Bailie,Kilcullen,Male,Adnan Menderes Üniversitesi,Aydın,Tıp,Teknoloji ve Bilim,Yazılım Geliştirme
rec7YeuGP7qQmZWwt,Ardis,Westphalen,Female,Sakarya Üniversitesi,Sakarya,Tıp,Doğa ve Açık Hava Aktiviteleri,Balık Tutma
rec7atURWnNY0Wkmc,Wilt,Leggis,Male,Türkiye Odalar ve Borsalar Birliği Üniversitesi,Ankara,Tıp,Doğa ve Açık Hava Aktiviteleri,Bahçe İşleri
rec7jcCcihvcCbniB,Lexie,Keay,Female,Eskişehir Teknik Üniversitesi,Eskişehir,Ziraat Mühendisliği,Diğer İlgi Alanları,Sosyal Medya
rec7lZqwUBygJv8cL,Alli,Figure,Female,Marmara Üniversitesi,İstanbul,Mühendislik,Sanat ve Yaratıcılık,Sinema
rec805zH9T1uGMhLL,Kathy,Ferdinand,Female,Sabahattin Zaim Üniversitesi,İstanbul,Hukuk,Doğa ve Açık Hava Aktiviteleri,Seyahat
rec84jJQDE2ACYoy7,Tabbatha,Coghlan,Female,Karadeniz Teknik Üniversitesi (KTÜ),Trabzon,Bilgisayar Mühendisliği,Sanat ve Yaratıcılık,Resim
rec86CBgDpAaVnwSa,Elicia,Coultish,Female,Sakarya Üniversitesi,Sakarya,Eğitim Fakültesi,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec86ZLWHQz6kDvBG,Rosalie,Colville,Female,Muğla Sıtkı Koçman Üniversitesi,Muğla,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
rec86iQgzfZNtwUIu,Rochelle,Tax,Female,Maltepe Üniversitesi,İstanbul,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Satranç
rec8DbZOdZDSlyksl,Marjory,Bonnet,Female,Yeditepe Üniversitesi,İstanbul,İktisat,Teknoloji ve Bilim,E-spor
rec8FLt4q3tM3mPFz,Anselma,Fanthom,Female,Boğaziçi Üniversitesi,İstanbul,Bilgisayar Mühendisliği,Sanat ve Yaratıcılık,Sinema
rec8GbZTmSY0ZJXyb,Allard,Druhan,Male,Pamukkale Üniversitesi,Denizli,Veterinerlik,Diğer İlgi Alanları,Kitap Okuma
rec8Kodcr1TcxVa20,Luce,Cudde,Female,İstanbul Sabahattin Zaim Üniversitesi,İstanbul,Veterinerlik,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec8Re5vCqQh1qB2D,Sophia,Bilson,Female,Muğla Sıtkı Koçman Üniversitesi,Muğla,Ekonomi,Sanat ve Yaratıcılık,Sinema
rec8Z7U75bLsOoE8x,Molly,Lynskey,Female,Koç Üniversitesi Anadolu,İstanbul,İşletme,Diğer İlgi Alanları,Kitap Okuma
rec8aiBm3FqPHiM4f,Rosalia,Adcocks,Female,Kırklareli Üniversitesi,Kırklareli,Hukuk,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec8cEE5uL8yC3xwO,Jerry,Seyfart,Male,Atatürk Üniversitesi,Erzurum,Veterinerlik,Diğer İlgi Alanları,Koleksiyonculuk
rec8jGJkIvGu3L4lw,Aggie,Meiklam,Female,Ege Üniversitesi,İzmir,Tıp,Doğa ve Açık Hava Aktiviteleri,Bahçe İşleri
rec8kYg8TkL49bJOV,Lew,Kleinplac,Male,Kırklareli Üniversitesi,Kırklareli,Tıp,Teknoloji ve Bilim,E-spor
rec8oAV9gXbgqUCjP,Chiquia,Gullam,Female,Türk-Alman Üniversitesi,İstanbul,İnşaat Mühendisliği,Oyun ve Zeka Aktiviteleri,Bulmaca Çözme
rec8tMtSM2QlrxzBB,Clarissa,Collecott,Female,Hacettepe Üniversitesi,Ankara,Tıp,Doğa ve Açık Hava Aktiviteleri,Kampçılık
rec8ue08RCqTKNr9P,Curtice,Raiman,Male,Koç Üniversitesi Anadolu,İstanbul,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Hayvan Bakımı
rec8vNQOVhQDRJJbI,Aliza,Boyet,Female,Piri Reis Üniversitesi,İstanbul,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec903wL3kJ7VdtT6,Janot,Becken,Female,Sakarya Üniversitesi,Sakarya,Hukuk,Sanat ve Yaratıcılık,Müzik
rec90dBwoBQmgqxUH,Mildred,Tesoe,Female,Türk-Alman Üniversitesi,İstanbul,Hukuk,Sanat ve Yaratıcılık,Resim
rec95P6pQSw6Bb85o,Johanna,Desborough,Female,Trakya Üniversitesi,Edirne,İşletme,Diğer İlgi Alanları,Kitap Okuma
rec99QuT2dyTeRCom,Raddy,Meates,Male,Erciyes Üniversitesi,Kayseri,Ekonomi,Diğer İlgi Alanları,Sosyal Medya
rec9BYVP1mac5gUau,Claybourne,Ginsie,Male,Bahçeşehir Üniversitesi,İstanbul,Tıp,Spor ve Sağlık,Meditasyon
rec9BcsOL3AMCNwmY,Sibel,Tanslie,Female,İstanbul Sabahattin Zaim Üniversitesi,İstanbul,İşletme,Gönüllülük ve Toplumsal Faaliyetler,Gönüllülük
rec9BgR5jYUXAUfwl,Alex,Monini,Male,İstanbul Aydın Üniversitesi,İstanbul,Mühendislik Fakültesi,Sanat ve Yaratıcılık,Tiyatro
rec9KtewOgF3py1Qj,Dane,Rivalland,Male,İstanbul Üniversitesi,İstanbul,Arkeoloji,Sanat ve Yaratıcılık,Grafik Tasarım
rec9NY2xoJlQL07NA,Toddy,McColm,Male,Koç Üniversitesi,İstanbul,Beden Eğitimi ve Spor Öğretmenliği,Teknoloji ve Bilim,E-spor
rec9RJzZZVASwiERS,Anabella,Szepe,Female,Artvin Çoruh Üniversitesi,Artvin,İşletme,Diğer İlgi Alanları,Yemek Yapma
rec9XHAAFdK3SF2K4,Domenic,Soden,Male,Yıldız Teknik Üniversitesi,İstanbul,Ziraat Mühendisliği,Sanat ve Yaratıcılık,Yaratıcı Yazarlık
rec9dctU8XfDrxSAZ,Farrand,Gibberd,Female,Dokuz Eylül Üniversitesi,İzmir,Elektrik ve Elektronik Mühendisliği,Sanat ve Yaratıcılık,Müzik
rec9il3g5eLgBRqo2,Antoni,Gouthier,Male,İstanbul Şehir Üniversitesi,İstanbul,Fizik,Spor ve Sağlık,Dans
rec9jIVNs6RFCs7Q5,Westley,Kubczak,Male,Van Yüzüncü Yıl Üniversitesi,Van,Ziraat Mühendisliği,Diğer İlgi Alanları,Yemek Yapma
rec9qJfFkVvxvCeP6,Brenn,Scholcroft,Female,Atatürk Üniversitesi,Erzurum,Eğitim Fakültesi,Spor ve Sağlık,Meditasyon
recA1LWd5sGlyhKsp,Selle,Gilchriest,Female,İzmir Ekonomi Üniversitesi,İzmir,Hukuk,Doğa ve Açık Hava Aktiviteleri,Seyahat
